name,capital,p_tax_rate,sector,radius,x,y
"NextEra Energy, Inc.",33946,0,Utilities,6.264309699,18.00928228,200.8940525
Range Resources Corporation,12853,0,Energy,3.854616453,12.86693752,186.2826412
Equity Residential,18880,0,Financials,4.671753418,27.9140265,194.2345384
Sprint Nextel Corp.,18968,0,Telecom,4.682628322,5.098958546,204.2750745
Carnival Corporation,26166,1,Consumer products,5.499808724,27.50965703,216.3729751
PG&E Corp.,19237,1,Utilities,4.715715428,29.8822818,204.4328504
Xcel Energy Inc.,14844,1,Utilities,4.14242248,21.85870945,186.5184647
Western Digital Corporation,12089,1,Information technology,3.738299613,23.50528084,177.7948705
"TECO Energy, Inc.",3965,1,Utilities,2.140920363,11.20537564,179.4896346
"MetroPCS Communications, Inc.",4115,1,Telecom,2.181041036,17.27667238,180.806406
"HCP, Inc.",23427,1,Financials,5.203999616,7.940900014,216.1414632
"Health Care REIT, Inc.",18343,1,Financials,4.604835285,8.060954317,194.4245912
"American Electric Power Co., Inc.",23915,2,Utilities,5.257921643,48.71670335,192.6571067
ONEOK Inc.,10022,2,Utilities,3.403737945,55.8442209,181.2719264
Seagate Technology Public Limited Company,12912,2,Information technology,3.863453377,39.57792029,188.3075647
"QEP Resources, Inc.",5534,2,Energy,2.529289228,49.43739632,183.9057166
Duke Energy Corporation,51507,3,Utilities,7.716352247,45.47942028,206.235567
Ford Motor Co.,50216,3,Consumer products,7.61903511,61.51809273,202.8279759
Broadcom Corp.,19096,3,Information technology,4.69840143,59.2636322,189.7053616
"Pepco Holdings, Inc.",5445,3,Utilities,2.508868271,43.65614324,182.1676118
"NRG Energy, Inc.",8649,4,Utilities,3.162,80.31832069,188.1207579
"CenterPoint Energy, Inc.",10315,4,Utilities,3.453134808,92.29326241,200.5263339
Altera Corp.,10627,4,Information technology,3.504969615,74.67881012,208.260955
Wynn Resorts Ltd.,12380,4,Consumer products,3.783025244,95.41260672,208.141609
CMS Energy Corp.,7535,4,Utilities,2.951348844,83.194858,181.6180519
NVIDIA Corporation,7683,4,Information technology,2.980192611,91.22185346,180.9366134
Cabot Oil & Gas Corporation,14410,4,Energy,4.081416421,90.82420803,215.7234457
Consolidated Edison Inc.,18006,5,Utilities,4.562338874,80.21894297,225.0909113
Wisconsin Energy Corp.,9879,5,Utilities,3.379367396,86.88022871,194.8721446
Denbury Resources Inc.,6710,5,Energy,2.785096049,75.66087847,182.972521
Leucadia National Corporation,10167,5,Financials,3.428272451,73.3241731,200.4482321
Southwestern Energy Co.,13097,5,Energy,3.891032254,78.2646682,215.8484617
Kimco Realty Corporation,9395,5,Financials,3.295545478,79.23145753,195.4795238
"Red Hat, Inc.",9266,5,Information technology,3.27284219,87.70247957,187.2726946
"Alexion Pharmaceuticals, Inc.",19166,5,Pharma,4.707004993,83.58486357,203.3563807
DTE Energy Company,12025,6,Utilities,3.728391074,120.5382066,174.3421759
Amazon.com Inc.,117706,6,Retailers,11.66482473,120.4503747,198.9867966
Pinnacle West Capital Corporation,6448,6,Utilities,2.730180946,116.6869825,167.9577475
Vornado Realty Trust,16418,6,Financials,4.356513285,130.8819345,185.4216345
"Ryder System, Inc.",3071,6,Industrials,1.884164536,113.9370893,174.7245027
The Boeing Company,65597,7,Industrials,8.708049839,100.8435903,190.5430442
Entergy Corporation,12109,7,Utilities,3.741390651,113.6973298,182.5501324
Xilinx Inc.,9610,7,Information technology,3.333040654,107.1119681,177.88559
"NetApp, Inc.",12229,7,Information technology,3.759883509,122.1967418,182.6574697
Pioneer Natural Resources Co.,16066,7,Energy,4.309558678,98.54749231,176.722688
Microchip Technology Inc.,6974,7,Information technology,2.839356265,128.0933992,173.9430009
