name,capital,tax_rate,sector,radius,x,y
"NextEra Energy, Inc.",33946,0,Utilities,6.2643096986,18.1348725387,201.1203087206
Range Resources Corporation,12853,0,Energy,3.854616453,12.9248550561,185.9903931211
Equity Residential,18880,0,Financials,4.6717534182,27.8142527248,194.1403747907
Sprint Nextel Corp.,18968,0,Telecom,4.6826283218,5.1282862373,204.045683496
Carnival Corporation,26166,1,Consumer products,5.4998087239,28.0263135676,216.1508986766
PG&E Corp.,19237,1,Utilities,4.7157154282,30.1050504077,204.2707231394
Xcel Energy Inc.,14844,1,Utilities,4.1424224797,21.9130492627,186.3015563992
Western Digital Corporation,12089,1,Information technology,3.7382996135,23.6367602249,177.5913026487
"TECO Energy, Inc.",3965,1,Utilities,2.1409203628,11.2394552911,179.2025114551
"MetroPCS Communications, Inc.",4115,1,Telecom,2.1810410358,17.3815262522,180.5481023528
"HCP, Inc.",23427,1,Financials,5.2039996157,7.9599157101,216.3039173255
"Health Care REIT, Inc.",18343,1,Financials,4.6048352848,8.4211027653,194.3024515024
"American Electric Power Co., Inc.",23915,2,Utilities,5.2579216426,49.3080114527,191.7645906085
ONEOK Inc.,10022,2,Utilities,3.4037379453,56.043613578,181.151672681
Seagate Technology Public Limited Company,12912,2,Information technology,3.8634533775,39.5640115829,189.0417598275
"QEP Resources, Inc.",5534,2,Energy,2.5292892282,49.4409575268,183.2612487781
Duke Energy Corporation,51507,3,Utilities,7.716352247,45.3329518041,205.1584972215
Ford Motor Co.,50216,3,Consumer products,7.6190351095,61.5312607124,202.5732479713
Broadcom Corp.,19096,3,Information technology,4.6984014303,59.9935013456,189.3479685693
"Pepco Holdings, Inc.",5445,3,Utilities,2.5088682708,43.4260053469,182.7629686623
"NRG Energy, Inc.",8649,4,Utilities,3.162,80.0619277247,188.1225615959
"CenterPoint Energy, Inc.",10315,4,Utilities,3.4531348077,91.640207756,200.8729841947
Altera Corp.,10627,4,Information technology,3.5049696147,74.6852768019,208.1510745641
Wynn Resorts Ltd.,12380,4,Consumer products,3.7830252444,96.0707811593,207.8117082497
CMS Energy Corp.,7535,4,Utilities,2.9513488442,82.097053326,181.3088942069
NVIDIA Corporation,7683,4,Information technology,2.9801926112,92.715235423,181.5499271398
Cabot Oil & Gas Corporation,14410,4,Energy,4.0814164208,91.5915936791,215.4607189887
Consolidated Edison Inc.,18006,5,Utilities,4.5623388739,80.1463794518,225.274198865
Wisconsin Energy Corp.,9879,5,Utilities,3.3793673964,87.9509287481,193.9633740463
Denbury Resources Inc.,6710,5,Energy,2.7850960486,75.0440876541,183.3226325743
Leucadia National Corporation,10167,5,Financials,3.4282724513,74.3205755904,200.2321846225
Southwestern Energy Co.,13097,5,Energy,3.8910322538,77.7342872581,216.1340405934
Kimco Realty Corporation,9395,5,Financials,3.2955454784,80.4578691797,195.5502795938
"Red Hat, Inc.",9266,5,Information technology,3.2728421899,87.2790635544,186.3430509742
"Alexion Pharmaceuticals, Inc.",19166,5,Pharma,4.7070049926,83.0902201055,204.1536120267
DTE Energy Company,12025,6,Utilities,3.7283910739,119.9345461489,174.1746138287
Amazon.com Inc.,117706,6,Retailers,11.6648247308,120.5992090079,199.2242785484
Pinnacle West Capital Corporation,6448,6,Utilities,2.7301809464,117.8916387553,167.0044414947
Vornado Realty Trust,16418,6,Financials,4.3565132847,131.4552963747,183.2935574122
"Ryder System, Inc.",3071,6,Industrials,1.8841645363,113.5735484573,172.3924723034
The Boeing Company,65597,7,Industrials,8.7080498391,100.7425222696,191.3698155865
Entergy Corporation,12109,7,Utilities,3.7413906505,114.0544727668,183.9545652874
Xilinx Inc.,9610,7,Information technology,3.3330406538,109.6338506904,177.1998737497
"NetApp, Inc.",12229,7,Information technology,3.7598835088,122.3947195831,182.2938852909
Pioneer Natural Resources Co.,16066,7,Energy,4.3095586781,100.9964710687,177.3582678989
Microchip Technology Inc.,6974,7,Information technology,2.8393562651,127.3483091305,172.6697847628
E*TRADE Financial Corporation,2890,7,Financials,1.8277964876,109.0515920955,171.0706081075
Corning Inc.,19663,8,Information technology,4.7676438625,155.0412491488,185.101429255
Valero Energy Corporation,23339,8,Energy,5.194216399,137.0075489576,192.2635252421
American Tower Corporation,31253,8,Financials,6.0106961327,166.0798497354,189.1877566396
Starwood Hotels & Resorts Worldwide Inc.,12007,8,Consumer products,3.7255995491,147.5293112123,178.3704107637
Host Hotels & Resorts Inc.,12841,8,Financials,3.852816632,155.6153789134,175.5161752739
Verizon Communications Inc.,141285,9,Telecom,12.779884976,152.3342451961,203.4447411718
Delphi Automotive PLC,13397,9,Consumer products,3.9353439494,145.5096905864,186.7834185232
Lincoln National Corporation,8472,9,Insurance,3.1294779117,149.2379194743,170.7140472226
Molson Coors Brewing Company,9170,9,Consumer products,3.2558439766,158.4365817989,167.9230454403
FMC Corp.,7854,9,Materials,3.0131750696,141.7812732996,173.1916972137
Xerox Corporation,10574,10,Information technology,3.4962185286,190.2820275233,207.7742950832
Ameren Corporation,8512,10,Utilities,3.1368570258,175.5137238495,199.5393757832
Waters Corp.,7968,10,Health care,3.0349642502,186.7783718933,191.6506408769
AGL Resources Inc.,5019,10,Utilities,2.4087266346,181.1630279819,188.1765726571
"Citrix Systems, Inc.",12699,10,Information technology,3.8314545541,178.3153099972,219.1410341871
International Paper Company,20919,11,Materials,4.9175567104,180.7139639817,207.474534094
Garmin Ltd.,6603,11,Consumer products,2.7628007529,185.5432389576,183.8713962408
Lam Research Corporation,6697,11,Information technology,2.7823968085,179.9277073692,194.2230049395
Teradata Corporation,8798,11,Information technology,3.1891202549,184.5623593364,199.3240538463
"Integrys Energy Group, Inc.",4661,11,Utilities,2.3212315697,175.6889344201,189.8585211076
Edwards Lifesciences Corp.,9267,11,Health care,3.27301879,171.6629061191,205.9216778254
"The PNC Financial Services Group, Inc.",34914,12,Financials,6.3529980324,201.1098580027,213.636378459
Southern Company,41267,12,Utilities,6.906855435,218.9264814247,235.8727368577
Marathon Petroleum Corporation,27580,12,Energy,5.6464572964,216.1799972115,189.10955793
EMC Corporation,48586,12,Information technology,7.4943589452,209.1800647443,201.2514140857
"EOG Resources, Inc.",34502,12,Energy,6.3154027583,194.9360628018,198.0244186302
FirstEnergy Corp.,18569,12,Utilities,4.6331160141,205.1690643918,187.2882456765
McKesson Corporation,24905,12,Health care,5.3656481435,194.3935645784,185.3819548552
PPL Corporation,18462,12,Utilities,4.6197480451,221.864226468,179.5505024473
Sempra Energy,20001,12,Utilities,4.8084463187,211.2418110463,178.8200276476
Frontier Communications Corporation,4070,12,Telecom,2.1690827555,206.0754049199,164.0617159954
Baxter International Inc.,38097,13,Health care,6.6362739546,210.3128740844,224.1630280785
Edison International,16607,13,Utilities,4.3815170889,201.2356876503,177.1487100315
Agilent Technologies Inc.,14463,13,Health care,4.0889152596,217.1567711068,171.0583916166
NiSource Inc.,9392,13,Utilities,3.2950192716,206.9956780447,170.7690804055
"Akamai Technologies, Inc.",6155,13,Information technology,2.6674294742,211.6548856231,165.6434132547
"VeriSign, Inc.",7041,13,Information technology,2.8529626706,217.3033960812,162.5120159478
Apple Inc.,400236,14,Information technology,21.5098306827,238.3480301613,206.2294195477
CSX Corp.,24466,14,Industrials,5.3181477979,253.7193931229,147.120671226
Windstream Corporation,4979,14,Telecom,2.3991090013,243.827509449,138.5015333048
SCANA Corp.,7246,14,Utilities,2.8941969525,228.434754345,138.0524487752
"First Solar, Inc.",2357,14,Information technology,1.6506641088,239.8916339379,135.3651355715
International Business Machines Corporation,233289,15,Information technology,16.422,237.3233634159,164.075359699
The Coca-Cola Company,182102,15,Consumer products,14.5089597146,211.4880141728,145.4553660744
Spectra Energy Corp.,20289,15,Energy,4.842941668,236.2532857004,141.8772285365
"Helmerich & Payne, Inc.",6536,15,Energy,2.7487480787,251.3132399097,133.0534808655
Northeast Utilities,13787,15,Utilities,3.9922139221,257.5206180084,137.6687597338
"Autodesk, Inc.",8583,15,Information technology,3.1499123797,244.6473750617,144.927140584
MeadWestvaco Corporation,6419,15,Materials,2.7240345079,249.8848493292,139.3707758507
General Electric Company,239776,16,Industrials,16.6487553889,279.1110106411,248.2582543435
Amgen Inc.,78660,16,Pharma,9.5357726483,274.0832890801,221.8389691057
Bristol-Myers Squibb Company,66915,16,Pharma,8.795097498,269.2027433402,203.454933898
Danaher Corp.,42076,16,Industrials,6.9742279859,271.9954861915,155.8871997967
The Allstate Corporation,23925,16,Insurance,5.2590208214,287.8483028624,140.0973939608
Air Products & Chemicals Inc.,17783,16,Materials,4.5339991178,304.3649888574,135.3795701982
"Williams Companies, Inc.",25392,16,Energy,5.4178549261,259.0518512445,157.4440372543
Eaton Corporation plc,28514,16,Industrials,5.7412702427,285.0706536092,152.4537125113
BMC Software Inc.,6351,16,Information technology,2.7095674932,288.3461323737,131.1912238068
"Airgas, Inc.",7355,16,Materials,2.9158840855,294.8943121892,127.3030485626
CareFusion Corporation,7678,16,Health care,2.9792227174,275.2255272197,129.2952794466
Cablevision Systems Corporation,3826,16,Consumer products,2.1030587248,282.9415670576,129.0751091397
Google Inc.,255440,17,Information technology,17.1839646182,280.47688032,179.2814224428
Exelon Corporation,30312,17,Utilities,5.9195161964,259.241397805,169.5455180488
Dell Inc.,24832,17,Information technology,5.3577786442,296.2031540157,147.8553081693
Phillips 66,39455,17,Energy,6.7535161213,255.9080226822,182.7910237848
ACE Limited,30619,17,Insurance,5.9494171143,295.1016868017,159.9875202264
H. J. Heinz Company,23219,17,Consumer products,5.1808458769,264.987457423,144.7468895866
Noble Corp.,9565,17,Energy,3.3252278117,295.5952026673,134.4925024098
"Ameriprise Financial, Inc.",14662,17,Financials,4.116949356,270.2467001085,135.8441357957
Principal Financial Group Inc.,9873,17,Insurance,3.378341013,263.0617739547,131.4295731204
United States Steel Corp.,2486,17,Materials,1.6952333173,269.5781081855,129.1121512139
