name,capital,tax_rate,sector,radius,x,y
"Ryder System, Inc.",3071,6,Industrials,1.8841645363,119.6627668701,293.1056470182
The Boeing Company,65597,7,Industrials,8.7080498391,120.7617136873,305.5818858281
CSX Corp.,24466,14,Industrials,5.3181477979,254.4358669884,307.5452979705
General Electric Company,239776,16,Industrials,16.6487553889,287.6049194103,315.4461898473
Danaher Corp.,42076,16,Industrials,6.9742279859,294.9686371737,291.9507179911
Eaton Corporation plc,28514,16,Industrials,5.7412702427,280.8213240196,293.0616131445
Southwest Airlines Co.,9337,17,Industrials,3.2853572104,272.3567114971,298.4357753626
Raytheon Co.,19010,19,Industrials,4.6878097231,321.0284862993,307.5590502952
Union Pacific Corporation,65395,20,Industrials,8.6946316771,350.3452405115,311.9148556604
Dun & Bradstreet Corp.,3352,20,Industrials,1.9684796164,343.1801130652,294.6351980862
Caterpillar Inc.,55148,21,Industrials,7.9844278442,362.1467319305,298.7556492238
Norfolk Southern Corp.,23700,21,Industrials,5.2342334682,339.3070374349,301.8651191354
Rockwell Collins Inc.,8616,21,Industrials,3.155961977,352.986071967,290.7902687546
"Joy Global, Inc.",6036,21,Industrials,2.6415177455,348.6205781894,295.9998636982
Honeywell International Inc.,57554,22,Industrials,8.1567410159,390.3315708283,317.7240792473
Lockheed Martin Corporation,30435,23,Industrials,5.9315141406,381.0000234308,305.8716120924
FedEx Corporation,30182,23,Industrials,5.9068089524,390.3561451973,297.080738714
"Stericycle, Inc.",9050,23,Industrials,3.2344705904,374.3501814882,298.184736557
United Technologies Corp.,86050,24,Industrials,9.9736552978,418.465518668,311.7835667706
Cummins Inc.,21408,24,Industrials,4.974700795,428.9749601216,299.7905701691
L-3 Communications Holdings Inc.,7381,24,Industrials,2.9210333788,410.7357665218,289.3185789593
PACCAR Inc.,17049,24,Industrials,4.4394418568,413.5116066918,297.2029310751
Parker-Hannifin Corporation,13409,24,Industrials,3.9371060438,405.5927806036,302.222051852
Dover Corporation,12741,24,Industrials,3.8377852988,425.921976113,290.4662067353
Flowserve Corp.,7771,24,Industrials,2.9972113706,418.0973486565,290.1235937207
Xylem Inc.,5186,24,Industrials,2.4484721767,406.1816333129,294.2987290644
