name,capital,tax_rate,sector,radius,x,y
"Ryder System, Inc.",3071,6,Industrials,1.884164536,120,293
The Boeing Company,65597,7,Industrials,8.708049839,121,306
CSX Corp.,24466,14,Industrials,5.318147798,254,308
General Electric Company,239776,16,Industrials,16.64875539,288,315
Danaher Corp.,42076,16,Industrials,6.974227986,295,292
Eaton Corporation plc,28514,16,Industrials,5.741270243,281,293
Southwest Airlines Co.,9337,17,Industrials,3.28535721,272,298
Raytheon Co.,19010,19,Industrials,4.687809723,321,308
Union Pacific Corporation,65395,20,Industrials,8.694631677,350,312
Dun & Bradstreet Corp.,3352,20,Industrials,1.968479616,343,295
Caterpillar Inc.,55148,21,Industrials,7.984427844,362,299
Norfolk Southern Corp.,23700,21,Industrials,5.234233468,339,302
Rockwell Collins Inc.,8616,21,Industrials,3.155961977,353,291
"Joy Global, Inc.",6036,21,Industrials,2.641517746,349,296
Honeywell International Inc.,57554,22,Industrials,8.156741016,390,318
Lockheed Martin Corporation,30435,23,Industrials,5.931514141,381,306
FedEx Corporation,30182,23,Industrials,5.906808952,390,297
"Stericycle, Inc.",9050,23,Industrials,3.23447059,374,298
United Technologies Corp.,86050,24,Industrials,9.973655298,418,312
Cummins Inc.,21408,24,Industrials,4.974700795,429,300
L-3 Communications Holdings Inc.,7381,24,Industrials,2.921033379,411,289
PACCAR Inc.,17049,24,Industrials,4.439441857,414,297
Parker-Hannifin Corporation,13409,24,Industrials,3.937106044,406,302
Dover Corporation,12741,24,Industrials,3.837785299,426,290
Flowserve Corp.,7771,24,Industrials,2.997211371,418,290
Xylem Inc.,5186,24,Industrials,2.448472177,406,294
Precision Castparts Corp.,26794,26,Industrials,5.565416786,454,303
Snap-on Inc.,4819,27,Industrials,2.360246597,450,285
3M Company,73048,28,Industrials,9.189313794,491,305
Deere & Company,33689,28,Industrials,6.240551578,477,295
Rockwell Automation Inc.,12176,28,Industrials,3.751727069,487,281
Pitney Bowes Inc.,2966,28,Industrials,1.851673837,476,280
Roper Industries Inc.,12194,28,Industrials,3.754499168,472,286
"Waste Management, Inc.",18052,29,Industrials,4.568162869,489,290
"Quanta Services, Inc.",5967,29,Industrials,2.626376211,480,284
Textron Inc.,7889,30,Industrials,3.019881455,512,295
Illinois Tool Works Inc.,27946,31,Industrials,5.683799433,520,307
Fluor Corporation,10169,31,Industrials,3.428609631,519,294
Emerson Electric Co.,40429,32,Industrials,6.836367749,554,309
General Dynamics Corp.,24456,32,Industrials,5.317060842,549,297
"Stanley Black & Decker, Inc.",12567,32,Industrials,3.811489473,549,286
CH Robinson Worldwide Inc.,9523,34,Industrials,3.317919227,579,306
Jacobs Engineering Group Inc.,7036,34,Industrials,2.851949509,579,294
Pall Corporation,7439,34,Industrials,2.932487681,585,293
"W.W. Grainger, Inc.",15643,35,Industrials,4.252447295,587,310
"United Parcel Service, Inc.",78736,36,Industrials,9.54037819,620,300
Expeditors International of Washington Inc.,7535,36,Industrials,2.951348844,609,290
Cintas Corporation,5431,36,Industrials,2.505640836,614,279
Equifax Inc.,6862,36,Industrials,2.81646445,621,279
"Republic Services, Inc.",11781,37,Industrials,3.690370713,617,286
Robert Half International Inc.,4993,37,Industrials,2.402479552,608,282
Fastenal Company,14918,38,Industrials,4.152735002,653,309
Iron Mountain Inc.,6929,38,Industrials,2.830180913,648,291
Pentair Ltd.,10811,40,Industrials,3.535182598,687,308
Northrop Grumman Corporation,16888,47,Industrials,4.418430491,788,308
Waters Corp.,7968,10,Health care,3.03496425,186,402
Edwards Lifesciences Corp.,9267,11,Health care,3.27301879,187,412
McKesson Corporation,24905,12,Health care,5.365648144,223,400
Baxter International Inc.,38097,13,Health care,6.636273955,220,413
Agilent Technologies Inc.,14463,13,Health care,4.08891526,212,402
CareFusion Corporation,7678,16,Health care,2.979222717,287,407
Abbott Laboratories,57408,18,Health care,8.146388648,322,406
"Medtronic, Inc.",47020,20,Health care,7.372592488,355,405
DENTSPLY International Inc.,5886,21,Health care,2.608489218,351,393
St. Jude Medical Inc.,11873,22,Health care,3.704752083,379,409
"Intuitive Surgical, Inc.",19950,22,Health care,4.802311943,390,407
"Becton, Dickinson and Company",18516,24,Health care,4.626499325,420,413
DaVita HealthCare Partners Inc.,13267,25,Health care,3.916203774,412,403
Cerner Corporation,16088,25,Health care,4.312508319,421,403
Cigna Corp.,18722,26,Health care,4.652164228,455,399
AmerisourceBergen Corporation,12191,26,Health care,3.754037293,453,390
"Varian Medical Systems, Inc.",7714,26,Health care,2.986198922,445,390
Covidien plc,31698,27,Health care,6.053336931,452,410
"Zimmer Holdings, Inc.",12421,27,Health care,3.789284365,443,404
"Thermo Fisher Scientific, Inc.",28016,28,Health care,5.690913459,487,405
CR Bard Inc.,8251,28,Health care,3.088390519,483,387
Aetna Inc.,17797,31,Health care,4.535783505,516,396
Stryker Corporation,24656,31,Health care,5.338757908,521,413
"Cardinal Health, Inc.",14579,32,Health care,4.105280015,548,401
Quest Diagnostics Inc.,9005,32,Health care,3.226419068,549,389
WellPoint Inc.,20444,33,Health care,4.861405558,553,410
UnitedHealth Group Incorporated,63433,34,Health care,8.563208978,589,405
Laboratory Corp. of America Holdings,8635,34,Health care,3.159439824,585,381
"Patterson Companies, Inc.",3961,34,Health care,2.139840181,577,381
Express Scripts Holding Company,46959,35,Health care,7.367808629,579,391
PerkinElmer Inc.,3807,38,Health care,2.097830308,648,389
Humana Inc.,12327,39,Health care,3.774918807,653,405
Coventry Health Care Inc.,6503,42,Health care,2.741800139,719,407
Life Technologies Corporation,11168,48,Health care,3.593077789,820,407
Amazon.com Inc.,117706,6,Retailers,11.66482473,120,503
priceline.com Incorporated,34737,19,Retailers,6.336873993,320,504
"Netflix, Inc.",9130,26,Retailers,3.248735138,452,506
GameStop Corp.,3566,27,Retailers,2.030343813,449,500
O'Reilly Automotive Inc.,11569,28,Retailers,3.657015723,486,505
"Staples, Inc.",8929,30,Retailers,3.212775124,514,485
Wal-Mart Stores Inc.,254473,31,Retailers,17.15140776,521,505
"AutoZone, Inc.",14265,32,Retailers,4.060829964,549,497
Walgreen Co.,45157,33,Retailers,7.22506,558,505
"The TJX Companies, Inc.",34603,33,Retailers,6.324639753,545,511
"J. C. Penney Company, Inc.",3488,33,Retailers,2.008015936,543,501
Costco Wholesale Corporation,46709,34,Retailers,7.348170112,586,508
Kohl's Corp.,10661,34,Retailers,3.510572033,572,501
The Kroger Co.,16605,34,Retailers,4.381253245,573,517
"L Brands, Inc.",13513,34,Retailers,3.952344621,592,497
TripAdvisor Inc.,6957,34,Retailers,2.83589351,587,492
Ross Stores Inc.,13052,35,Retailers,3.884341901,580,498
"PetSmart, Inc.",6512,35,Retailers,2.743696776,581,490
