cx,cy,capitalization,earnings,taxes,x,y,tax_rate,tax_rate_bin,sector,name,alias,symbol
151.8,-48.7,400236,134527,18844,159.1,-10.9,0.14,0.14,Information technology,Apple Inc.,,AAPL
141.9,1.2,24466,14424,1998,159.3,0,0.14,0.14,Industrials,CSX Corp.,,CSX
149.6,-2.8,4979,3582,509,163.6,0,0.14,0.14,Telecom,Windstream Corporation,,WIN
171.8,-62.3,7246,3202,450,161.7,0,0.14,0.14,Utilities,SCANA Corp.,,SCG
146.7,-19.5,2357,1975,273,152.4,11.1,0.14,0.14,Information technology,"First Solar, Inc.",,FSLR
164.1,-14.1,233289,111970,16861,175.5,21.9,0.15,0.14,Information technology,International Business Machines Corporation,I.B.M.,IBM
158.3,44.2,182102,61845,9431,175.4,-0.1,0.15,0.14,Consumer products,The Coca-Cola Company,,KO
160.1,63.6,20289,9066,1333,168.7,-1.8,0.15,0.14,Energy,Spectra Energy Corp.,,SE
167.1,68.5,6536,3999,597,172.6,5.8,0.15,0.14,Energy,"Helmerich & Payne, Inc.",,HP
176,-55.6,13787,3227,490,174.5,0,0.15,0.14,Utilities,Northeast Utilities,,NU
147.7,-24.9,8583,1809,263,157.9,13.4,0.15,0.14,Information technology,"Autodesk, Inc.",,ADSK
152.1,60.6,6419,1680,247,168.9,0,0.15,0.14,Materials,MeadWestvaco Corporation,,MWV
